"","qbtag","total_path_distance","displacement","displacement_bearing","mvmt_index","treat_id","treat_fed","starting_quad","instar","m_total_path","m_displacement","alt_index"
"56",60,7.99999999999999,0,NA,NA,"Presence","Fed","SE",5,2.4384,0,0
"57",61,53.0728923375433,43.9590215026703,312.167937933671,1.20732651736389,"Absence","Fed","NE",6,16.1766175844832,13.3987097540139,0.828276349121716
"58",62,0,0,NA,NA,"Presence","Fed","NW",6,0,0,NA
"59",63,106.514226176806,59.8566688478088,324.291179078057,1.77948803745875,"Absence","Starved","SW",5,32.4655361386903,18.2443126648121,0.561959383232539
"60",64,7.99999999999999,0,NA,NA,"Presence","Starved","SE",5,2.4384,0,0
"61",65,12.8036743115827,6.8036743115827,125,1.88187642812142,"Absence","Starved","SW",6,3.90255993017041,2.07375993017041,0.531384518694593
"62",66,48.093185050762,47.7922702636924,311.161227248885,1.00629630660794,"Absence","Fed","NE",5,14.6588028034723,14.5670839763734,0.993743088823249
"63",67,0,0,NA,NA,"Presence","Fed","NW",6,0,0,NA
"64",68,0,0,NA,NA,"Absence","Fed","NE",6,0,0,NA
"65",69,38.5824002078985,13.7592934932785,4.89318825241897,2.80409747976858,"Absence","Fed","SW",6,11.7599155833675,4.19383265675129,0.356620983120219
"66",69.1,67.7373608174917,8,212,8.46717010218646,"Absence","Fed","SW",6,20.6463475771715,2.4384,0.118103213698491
"67",70,7.99999999999999,0,NA,NA,"Presence","Fed","SE",5,2.4384,0,0
"68",0,54.5108655776955,47.3441352433419,310.084419815355,1.15137525054619,"Presence","Starved","NE",6,16.6149118280816,14.4304924221706,0.868526572484183
"69",71,9.52581923325969,9.52581923325969,330.764434191947,1,"Presence","Starved","SW",6,2.90346970229755,2.90346970229755,1
"70",73,0,0,NA,NA,"Presence","Fed","NE",6,0,0,NA
"71",74,92.6670250139696,63.7352113884106,299.294386549061,1.45393767425113,"Absence","Fed","SE",5,28.2449092242579,19.4264924311876,0.687787391240871
"72",75,0,0,NA,NA,"Presence","Starved","NE",5,0,0,NA
"73",77,158.704919687588,100.01745882049,321.277254672142,1.58677216517198,"Absence","Fed","SE",6,48.3732595207769,30.4853214484853,0.630210197751745
"74",77.1,104.198188369667,97.6134901296122,318.622048433415,1.06745684670543,"Absence","Fed","SE",6,31.7596078150745,29.7525917915058,0.936806019921439
"75",77.2,340.005214669016,144.309311000318,23.2005484194001,2.35608646671639,"Absence","Fed","SE",6,103.633589431116,43.9854779928969,0.424432640366409
"76",78,127.287062872696,111.278514267613,331.336601492952,1.14386019359123,"Absence","Starved","SE",5,38.7970967635976,33.9176911487683,0.874232712706288
"77",79,0,0,NA,NA,"Presence","Fed","SW",5,0,0,NA
"78",80,90.0831176041559,62.4597109081016,226.609713097333,1.44225959893886,"Absence","Fed","NW",5,27.4573342457467,19.0377198847894,0.693356453121024
"79",80.1,15.8585336863818,8.17330978467729,60.0180360599276,1.94028295808782,"Absence","Fed","NW",5,4.83368106760917,2.49122482236964,0.515388745662909
"80",81,24.6325284484122,11.0290374655587,13.6675985226687,2.23342504052003,"Absence","Fed","NW",5,7.50799467107604,3.36165061950228,0.447742808402991
"81",82,0,0,NA,NA,"Presence","Fed","NE",6,0,0,NA
"82",83,46.2270085908538,16.4410756508381,52.5320569210194,2.81167787148388,"Absence","Starved","NW",6,14.0899922184922,5.01123985837544,0.355659519229436
"83",84,18.2042468816688,6,320,3.0340411469448,"Absence","Starved","NW",5,5.54865444953265,1.8288,0.329593420645259
"84",85,0,0,NA,NA,"Presence","Fed","SW",5,0,0,NA
"85",87,0,0,NA,NA,"Presence","Fed","SW",5,0,0,NA
"86",89,0,0,NA,NA,"Presence","Starved","SW",6,0,0,NA
"87",90,149.802603158395,44.3808605007374,241.23949822848,3.37538753120629,"Absence","Starved","SE",6,45.6598334426786,13.5272862806248,0.296262278258349
"88",91,37.0585677748858,13.7196666095626,50.8360484927978,2.70112742747378,"Absence","Starved","NW",6,11.2954514577852,4.18175438259469,0.370215780947161
"89",92,77.4478325697911,35.4242282440538,240,2.18629554993315,"Absence","Fed","SE",6,23.6060993672723,10.7973047687876,0.457394701293051
"90",93,55.6824339095294,48.7333684398372,302.861040713614,1.1425935799671,"Presence","Starved","NE",6,16.9720058556246,14.8539307004624,0.875201836884811
"91",201,376.320043549969,102.576741835083,56.8516511904244,3.66866832400462,"Absence","Fed","SW",6,114.702349274031,31.2653909113333,0.272578470355812
"92",202,92.00381587486,71.3466655155406,293.226294000028,1.28953210651197,"Absence","Fed","SE",5,28.0427630786573,21.7464636491368,0.775475069562153
"93",203,121.181228024604,79.1154195648122,103.184060600236,1.53170176801415,"Absence","Starved","SE",6,36.9360383018992,24.1143798833548,0.652868607246241
"94",204,13.9849281315907,0,NA,NA,"Presence","Fed","NE",6,4.26260609450884,0,0
"95",205,0,0,NA,NA,"Presence","Starved","NE",6,0,0,NA
"96",206,38.3962712253028,26.534169310661,225.686174274342,1.44705005744709,"Absence","Fed","SW",5,11.7031834694723,8.08761480588948,0.691061096921705
"97",206.1,70.258218590767,69.7049468176092,355.510441565253,1.00793733871723,"Absence","Fed","SW",5,21.4147050264658,21.2460677900073,0.992125166503575
"98",207,46.8763503560523,0,NA,NA,"Presence","Fed","NW",6,14.2879115885247,0,0
"99",208,0,0,NA,NA,"Presence","Starved","NE",6,0,0,NA
